*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=jack
*Date=18:30:55
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;51k;THT;111.268;-23.397;30;Bottom;R22
2;;;93.5228;-8.2135;0;Bottom;Copper Fill5
3;51k;THT;9.66792;-20.857;30;Bottom;R14
4;;;2.6797;-40.2556;0;Bottom;Copper Fill58
5;;;97.028;-64.0935;0;Bottom;Copper Fill15
6;;;146.088;-70.7102;0;Bottom;Copper Fill154
7;;banana_conn;135.987;-23.3969;0;Bottom;J_B
8;;;38.2397;-24.4314;0;Bottom;Copper Fill77
9;;;36.6776;-41.2335;0;Bottom;Copper Fill174
10;;;91.948;-8.2135;0;Bottom;Copper Fill116
11;;;20.4597;-40.2556;0;Bottom;Copper Fill62
12;51k;THT;42.6881;-20.857;30;Bottom;R16
13;;;125.971;-26.6412;0;Bottom;Copper Fill97
14;;;145.085;-71.7135;0;Bottom;Copper Fill47
15;;;31.7881;-72.7168;0;Bottom;Copper Fill141
16;;;148.793;-43.3163;0;Bottom;Copper Fill90
17;;;161.328;-70.7102;0;Bottom;Copper Fill50
18;;;1.7018;-41.2335;0;Bottom;Copper Fill59
19;;;32.7914;-71.7135;0;Bottom;Copper Fill36
20;51k;THT;127.315;-20.7802;75;Bottom;R23
21;;;140.957;-26.5396;0;Bottom;Copper Fill100
22;;;91.948;-10.7535;0;Bottom;Copper Fill118
23;51k;THT;57.9281;-20.857;30;Bottom;R17
24;;;16.5481;-70.7102;0;Bottom;Copper Fill146
25;;banana_conn;47.0874;-23.3969;0;Bottom;J_X
26;;;114.44;-42.7956;0;Bottom;Copper Fill84
27;;;113.462;-43.7735;0;Bottom;Copper Fill85
28;51k;THT;127.315;-68.0649;-45;Bottom;R6
29;;;20.4597;-40.2556;0;Bottom;Copper Fill170
30;;;88.9973;-22.127;90;Bottom;IC1
31;;;115.418;-43.7735;0;Bottom;Copper Fill191
32;;;162.331;-71.7135;0;Bottom;Copper Fill160
33;;;50.9397;-40.2556;0;Bottom;Copper Fill68
34;;;125.971;-24.8632;0;Bottom;Copper Fill98
35;;;113.462;-43.7735;0;Bottom;Copper Fill190
36;;;61.2648;-71.7135;0;Bottom;Copper Fill27
37;;;109.576;-66.2144;0;Bottom;Copper Fill111
38;;;156.197;-26.5396;0;Bottom;Copper Fill103
39;51k;THT;173.035;-68.0649;-45;Bottom;R9
40;;banana_conn;69.9474;-58.957;0;Bottom;J_T
41;;banana_conn;158.847;-41.1769;0;Bottom;J_J
42;;;131.966;-44.9292;0;Bottom;Copper Fill87
43;;;76.5048;-71.7135;0;Bottom;Copper Fill131
44;;;78.5114;-71.7135;0;Bottom;Copper Fill24
